ProteinAccession__GenomeAcc	GenomeAcc_ScientificName	TaxonomyID	ScientificName	Lineage	GenomeAccession	Genus	Species	GenomeAcc_Lineage	ProteinAccession	RepresentativeSequence	ClusterSequences	mPTPClusterID
AGS15079__KF206164.1	KF206164.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KF206164.1	Bocaparvovirus	unclassified Bocaparvovirus	KF206164.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGS15079	KF206164.1	AGS15079,AGS15080	AGS15079__KF206164.1_Species 31
YP_068408__AF085716	AF085716_Adeno-associated virus - 5	82300	Adeno-associated virus - 5	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus B	AF085716	Dependoparvovirus	Adeno-associated dependoparvovirus B	AF085716_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus B	YP_068408	AF085716	YP_068408,AAD13755,ABC69725,CAA77023	YP_068408__AF085716_Species 46
AOY07789__KU871315.1	KU871315.1_Human parvovirus 4	289365	Human parvovirus 4	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1	KU871315.1	Tetraparvovirus	Primate tetraparvovirus 1	KU871315.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1	AOY07789	KU871315.1	AOY07789,AOY07786,AEE69128,AEE69122,AIC33858,AIC33855,AIC33852,AIX96902,AIX96900,YP_238482,ADM26648,ACF94533,ABK00521,AAU88153,AET35072,AFD01599,AFD01583,AFD01580,AFD01577,AFD01574,AFD01571,ACD71480,ACD71478,ACD71474,ACD71472,ACD71470,ACD71468,ABV71692,ABV71690,ACY78469,ABY67676,ABK00519,ABK00517,ABK00515,ABK00513,ABK00511,AET35078,AET35070,AEE69125,AET35082,ABV71694	AOY07789__KU871315.1_Species 39
AGJ52193__KC473563.1	KC473563.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KC473563.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KC473563.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AGJ52193	KC473563.1	AGJ52193,AGJ52194	AGJ52193__KC473563.1_Species 31
AEM37643__JN420372.1	JN420372.1_California sea lion adeno-associated virus 1	1073950	California sea lion adeno-associated virus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Pinniped dependoparvovirus 1	JN420372.1	Dependoparvovirus	Pinniped dependoparvovirus 1	JN420372.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Pinniped dependoparvovirus 1	AEM37643	JN420372.1	AEM37643,AEM37641	AEM37643__JN420372.1_Species 46
AME15905__KT878961.1	KT878961.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KT878961.1	Amdoparvovirus	Carnivore amdoparvovirus 1	KT878961.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	AME15905	KT878961.1	AME15905,AME15900,AME15890	AME15905__KT878961.1_Species 7
AMY15606__KU867071.1	KU867071.1_Porcine bufavirus	1828531	Porcine bufavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	KU867071.1	unclassified Parvovirinae	unclassified Parvovirinae	KU867071.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	AMY15606	KU867071.1	AMY15606	AMY15606__KU867071.1_Species 19
AGS15095__KF206168.1	KF206168.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KF206168.1	Bocaparvovirus	unclassified Bocaparvovirus	KF206168.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGS15095	KF206168.1	AGS15095,AGS15096	AGS15095__KF206168.1_Species 31
AEM37644__JN420372.1	JN420372.1_California sea lion adeno-associated virus 1	1073950	California sea lion adeno-associated virus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Pinniped dependoparvovirus 1	JN420372.1	Dependoparvovirus	Pinniped dependoparvovirus 1	JN420372.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Pinniped dependoparvovirus 1	AEM37644	JN420372.1	AEM37644,AEM37642	AEM37644__JN420372.1_Species 20
BAU69595__LC085666.1	LC085666.1_Megabat bufavirus 2	1756189	Megabat bufavirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	LC085666.1	Protoparvovirus	unclassified Protoparvovirus	LC085666.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	BAU69595	LC085666.1	BAU69595,BAU69594	BAU69595__LC085666.1_Species 8
AIT18930__KJ495710.1	KJ495710.1_Tusavirus 1	1560340	Tusavirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	KJ495710.1	Protoparvovirus	unclassified Protoparvovirus	KJ495710.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AIT18930	KJ495710.1	AIT18930	AIT18930__KJ495710.1_Species 19
NP_852781__AY186198	AY186198_Avian adeno-associated virus ATCC VR-865	219704	Avian adeno-associated virus ATCC VR-865	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	AY186198	Dependoparvovirus	unclassified Dependoparvovirus	AY186198_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	NP_852781	AY186198	NP_852781,AAT48613,AAO32087,YP_077183,AAT48615	NP_852781__AY186198_Species 20
YP_009110759__KJ396347	KJ396347_Raccoon dog amdovirus	1513315	Raccoon dog amdovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;unclassified Amdoparvovirus	KJ396347	Amdoparvovirus	unclassified Amdoparvovirus	KJ396347_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;unclassified Amdoparvovirus	YP_009110759	KJ396347	YP_009110759,AID57428,AID57423,AID57418,AID57413,AID57413	YP_009110759__KJ396347_Species 7
P07297__undef	undef_Bovine parvovirus pAT153/1986	648243	Bovine parvovirus pAT153/1986	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 1;Bovine parvovirus	undef	Bocaparvovirus	Bovine parvovirus	undef_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 1;Bovine parvovirus	P07297	undef	P07297,NP_041404,AET79240,AAB59848,ABC69729,4QC8A,NP_041406,AET79241,AAB59849,ABC69731	P07297__undef_Species 32
ATY47677__KY432909.1	KY432909.1_Parvovirinae sp.	2055262	Parvovirinae sp.	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	KY432909.1	unclassified Parvovirinae	unclassified Parvovirinae	KY432909.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	ATY47677	KY432909.1	ATY47677,ATY47689	ATY47677__KY432909.1_Species 34
AQN78781__KX685945.1	KX685945.1_Cutavirus	1867125	Cutavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	KX685945.1	unclassified Parvovirinae	unclassified Parvovirinae	KX685945.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	AQN78781	KX685945.1	AQN78781,AMS35109,AMS35105,AMS35093,AMS35089,AMS35101,AMS35085,AMS35097	AQN78781__KX685945.1_Species 8
AHK26974__KF025381.1	KF025381.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KF025381.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KF025381.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AHK26974	KF025381.1	AHK26974	AHK26974__KF025381.1_Species 31
AKG54800__KP281720.1	KP281720.1_Canine bocavirus	1108949	Canine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KP281720.1	Bocaparvovirus	unclassified Bocaparvovirus	KP281720.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AKG54800	KP281720.1	AKG54800,AKG54794,AKG54787,AKG54782,AKG54777,AKG54771,AKG54765,AKG54760,AFH96903,AFH96897,AFH96891,AFH96885	AKG54800__KP281720.1_Species 14
ALS31343__KT223502.1	KT223502.1_Primate bocaparvovirus 1	1511871	Primate bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus	KT223502.1	Bocaparvovirus	Bocaparvovirus	KT223502.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus	ALS31343	KT223502.1	ALS31343	ALS31343__KT223502.1_Species 33
YP_009130650__AB937988	AB937988_Mpulungu bufavirus	1580058	Mpulungu bufavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AB937988	Protoparvovirus	unclassified Protoparvovirus	AB937988_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	YP_009130650	AB937988	YP_009130650,BAR42271	YP_009130650__AB937988_Species 8
AQN78782__KX685945.1	KX685945.1_Cutavirus	1867125	Cutavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	KX685945.1	unclassified Parvovirinae	unclassified Parvovirinae	KX685945.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	AQN78782	KX685945.1	AQN78782,AMS35111,AMS35106,AMS35103,AMS35099,AMS35095,AMS35091,AMS35088	AQN78782__KX685945.1_Species 19
P03137__undef	undef_Murine minute virus strain MVM prototype	648235	Murine minute virus strain MVM prototype	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1;Minute virus of mice	undef	Protoparvovirus	Minute virus of mice	undef_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1;Minute virus of mice	P03137	undef	P03137,P07302,NP_041244,AAA67111,AAA69569,ABB01354,CAA24313,CAB46507	P03137__undef_Species 19
ALN66861__KT148961.1	KT148961.1_Bovine parvovirus - 2	172296	Bovine parvovirus - 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 1	KT148961.1	Copiparvovirus	Ungulate copiparvovirus 1	KT148961.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 1	ALN66861	KT148961.1	ALN66861,YP_077176,AAL09672	ALN66861__KT148961.1_Species 23
ABC69727__DQ335247.1	DQ335247.1_Bovine parvovirus-1	365609	Bovine parvovirus-1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 1;Bovine parvovirus	DQ335247.1	Bocaparvovirus	Bovine parvovirus	DQ335247.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 1;Bovine parvovirus	ABC69727	DQ335247.1	ABC69727,P07296,NP_041402,AAB59845,ABC69730	ABC69727__DQ335247.1_Species 18
BAR42282__LC011438.1	LC011438.1_Solwezi bufavirus	1580061	Solwezi bufavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	LC011438.1	Protoparvovirus	unclassified Protoparvovirus	LC011438.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	BAR42282	LC011438.1	BAR42282	BAR42282__LC011438.1_Species 8
AIC77176__KJ631100.1	KJ631100.1_Tumor virus X	1507809	Tumor virus X	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1	KJ631100.1	Protoparvovirus	Rodent protoparvovirus 1	KJ631100.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1	AIC77176	KJ631100.1	AIC77176	AIC77176__KJ631100.1_Species 8
ATV81500__MF682926.1	MF682926.1_Rhinolophus pusillus adeno-associated virus 1	2053182	Rhinolophus pusillus adeno-associated virus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	MF682926.1	Dependoparvovirus	unclassified Dependoparvovirus	MF682926.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	ATV81500	MF682926.1	ATV81500	ATV81500__MF682926.1_Species 46
YP_009130651__AB937988	AB937988_Mpulungu bufavirus	1580058	Mpulungu bufavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AB937988	Protoparvovirus	unclassified Protoparvovirus	AB937988_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	YP_009130651	AB937988	YP_009130651,BAR42272	YP_009130651__AB937988_Species 19
YP_009229910__KT592508	KT592508_Bat bocavirus	1329649	Bat bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KT592508	Bocaparvovirus	unclassified Bocaparvovirus	KT592508_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009229910	KT592508	YP_009229910,AMD43874,YP_009229911,AMD43875	YP_009229910__KT592508_Species 34
ATV81501__MF682926.1	MF682926.1_Rhinolophus pusillus adeno-associated virus 1	2053182	Rhinolophus pusillus adeno-associated virus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	MF682926.1	Dependoparvovirus	unclassified Dependoparvovirus	MF682926.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	ATV81501	MF682926.1	ATV81501	ATV81501__MF682926.1_Species 20
ATV81502__MF682927.1	MF682927.1_Rhinolophus sinicus adeno-associated virus 1	2053183	Rhinolophus sinicus adeno-associated virus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	MF682927.1	Dependoparvovirus	unclassified Dependoparvovirus	MF682927.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	ATV81502	MF682927.1	ATV81502	ATV81502__MF682927.1_Species 46
YP_009227290__KT454512	KT454512_Rat bocavirus	1788315	Rat bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KT454512	Bocaparvovirus	unclassified Bocaparvovirus	KT454512_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009227290	KT454512	YP_009227290,AMB21285,AMB21280,AMB21275,AMB21270,AMB21265,AMB21260,YP_009227291,AMB21284,AMB21279,AMB21274,AMB21269,AMB21264,AMB21259	YP_009227290__KT454512_Species 14
AHK26992__KF025387.1	KF025387.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KF025387.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KF025387.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AHK26992	KF025387.1	AHK26992	AHK26992__KF025387.1_Species 31
AIC77179__KJ631100.1	KJ631100.1_Tumor virus X	1507809	Tumor virus X	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1	KJ631100.1	Protoparvovirus	Rodent protoparvovirus 1	KJ631100.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1	AIC77179	KJ631100.1	AIC77179,AJM71463,AAB38327,AAM93274,AAK27441,AIC77180,AAB38328,AAM93273	AIC77179__KJ631100.1_Species 19
ATV81503__MF682927.1	MF682927.1_Rhinolophus sinicus adeno-associated virus 1	2053183	Rhinolophus sinicus adeno-associated virus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	MF682927.1	Dependoparvovirus	unclassified Dependoparvovirus	MF682927.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	ATV81503	MF682927.1	ATV81503	ATV81503__MF682927.1_Species 20
AOT82272__KU745628.1	KU745628.1_Porcine parvovirus 5	1241957	Porcine parvovirus 5	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	KU745628.1	Protoparvovirus	unclassified Protoparvovirus	KU745628.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AOT82272	KU745628.1	AOT82272,ANO39506,ANM72089,ANM72087,ANM72085,ANM72083,AHB59731,YP_008888534,AFU93188,AFU93186,AFU93184,AFU93182,AFU93180	AOT82272__KU745628.1_Species 24
ADB55714__GU269892.1	GU269892.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	GU269892.1	Amdoparvovirus	Carnivore amdoparvovirus 1	GU269892.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	ADB55714	GU269892.1	ADB55714,ACY54681,ATX68203	ADB55714__GU269892.1_Species 7
YP_009227293__KT454512	KT454512_Rat bocavirus	1788315	Rat bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KT454512	Bocaparvovirus	unclassified Bocaparvovirus	KT454512_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009227293	KT454512	YP_009227293,AMB21287,AMB21282,AMB21277,AMB21272,AMB21267,AMB21262,YP_009227294,AMB21288,AMB21283,AMB21278,AMB21273,AMB21268,AMB21263	YP_009227293__KT454512_Species 34
AAS99291__AY530606.1	AY530606.1_Adeno-associated virus	272636	Adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	AY530606.1	Dependoparvovirus	unclassified Dependoparvovirus	AY530606.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	AAS99291	AY530606.1	AAS99291,3NG9J,3NG9I,3NG9H,3NG9G,3NG9F,3NG9E,3NG9D,3NG9C,3NG9B,3NG9A,APD78414,ACB55310,ACB55309,ACB55308,ACB55303,ACB55302,ACB55301,NP_049542,AAS99296,AAS99294,AAS99292,AAD27757,AAB95450,ABA71701,ABA71699,CAP58626,CAP58621,CAP58627,3OAHA,CAP58628,5EGCA,3TSXT,3TSXS,3TSXR,3TSXQ,3TSXP,3TSXO,3TSXN,3TSXM,3TSXL,3TSXK,3TSXJ,3TSXI,3TSXH,3TSXG,3TSXF,3TSXE,3TSXD,3TSXC,3TSXB,3TSXA,1VU17,1VU16,1VU15,1VU14,1VU13,1VU12,1VU11,1VU10,1VU1ZZ,1VU1YY,1VU1XX,1VU1WW,1VU1VV,1VU1UU,1VU1TT,1VU1SS,1VU1RR,1VU1QQ,1VU1PP,1VU1OO,1VU0NN,1VU0MM,1VU0LL,1VU0KK,1VU0JJ,1VU0II,1VU0HH,1VU0GG,1VU0FF,1VU0EE,1VU0DD,1VU0CC,1VU0BB,1VU0AA,1VU0Z,1VU0Y,1VU0X,1VU0W,1VU0V,1VU0U,3SHMT,3SHMS,3SHMR,3SHMQ,3SHMP,3SHMO,3SHMN,3SHMM,3SHML,3SHMK,3SHMJ,3SHMI,3SHMH,3SHMG,3SHMF,3SHME,3SHMD,3SHMC,3SHMB,3SHMA	AAS99291__AY530606.1_Species 20
AGK45557__KC878874.1	KC878874.1_Fox adeno-associated virus	1328057	Fox adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	KC878874.1	Dependoparvovirus	unclassified Dependoparvovirus	KC878874.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	AGK45557	KC878874.1	AGK45557	AGK45557__KC878874.1_Species 20
AHK26995__KF025388.1	KF025388.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KF025388.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KF025388.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AHK26995	KF025388.1	AHK26995,AHK27050	AHK26995__KF025388.1_Species 31
AGA15927__JX896667.1	JX896667.1_Adeno-associated virus	272636	Adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	JX896667.1	Dependoparvovirus	unclassified Dependoparvovirus	JX896667.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	AGA15927	JX896667.1	AGA15927,AGA15925,AGA15924,ACN42944	AGA15927__JX896667.1_Species 20
AQS80381__KX981976.1	KX981976.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KX981976.1	Amdoparvovirus	Carnivore amdoparvovirus 1	KX981976.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	AQS80381	KX981976.1	AQS80381	AQS80381__KX981976.1_Species 7
AEF33722__JF512472.1	JF512472.1_Porcine bocavirus 3/64-1/N.Ireland/2004	1033266	Porcine bocavirus 3/64-1/N.Ireland/2004	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5;Porcine bocavirus 3	JF512472.1	Bocaparvovirus	Porcine bocavirus 3	JF512472.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5;Porcine bocavirus 3	AEF33722	JF512472.1	AEF33722,AGS15093,AHK26999,ATV81494,AOZ60497,AMH38320,AHK26978,AHK26972,AGS15069,AGS15057,AGJ52191,YP_004869645,YP_004869641,AEO37425,AEO37421,AEO37417,AHK26984,AHK26990,AOZ60491,AER30010,AOZ60494,AER30014,AHK27129,AHK27187,AHK27186,AHK27185,AHK27184,AHK27182,AHK27181,AHK27180,AHK27179,AHK27178,AHK27177,AHK27176,AHK27175,AHK27173,AHK27172,AHK27171,AHK27169,AHK27168,AHK27165,AHK27164,AHK27163,AHK27162,AHK27159,AHK27158,AHK27157,AHK27156,AHK27155,AHK27154,AHK27152,AHK27151,AHK27150,AHK27148,AHK27147,AHK27146,AHK27145,AHK27144,AHK27142,AHK27141,AHK27139,AHK27138,AHK27136,AHK27135,AHK27131,AHK27153	AEF33722__JF512472.1_Species 12
APC23634__KY019140.1	KY019140.1_Bovine parvovirus - 2	172296	Bovine parvovirus - 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 1	KY019140.1	Copiparvovirus	Ungulate copiparvovirus 1	KY019140.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 1	APC23634	KY019140.1	APC23634,ALN66860,AJE25859,YP_077175,AAL09671	APC23634__KY019140.1_Species 36
ATV81488__MF682922.1	MF682922.1_Rhinolophus pusillus bocaparvovirus 1	2053079	Rhinolophus pusillus bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	MF682922.1	Bocaparvovirus	unclassified Bocaparvovirus	MF682922.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ATV81488	MF682922.1	ATV81488	ATV81488__MF682922.1_Species 14
AEQ76805__JF504702.1	JF504702.1_Ovine hokovirus	1096142	Ovine hokovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 4	JF504702.1	Tetraparvovirus	Ungulate tetraparvovirus 4	JF504702.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 4	AEQ76805	JF504702.1	AEQ76805,AEQ76802,AEQ76799,AEQ76796	AEQ76805__JF504702.1_Species 42
AEF33724__JF512472.1	JF512472.1_Porcine bocavirus 3/64-1/N.Ireland/2004	1033266	Porcine bocavirus 3/64-1/N.Ireland/2004	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5;Porcine bocavirus 3	JF512472.1	Bocaparvovirus	Porcine bocavirus 3	JF512472.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5;Porcine bocavirus 3	AEF33724	JF512472.1	AEF33724,AEF33725	AEF33724__JF512472.1_Species 31
AHK26998__KF025389.1	KF025389.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KF025389.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KF025389.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AHK26998	KF025389.1	AHK26998	AHK26998__KF025389.1_Species 31
AEQ76806__JF504702.1	JF504702.1_Ovine hokovirus	1096142	Ovine hokovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 4	JF504702.1	Tetraparvovirus	Ungulate tetraparvovirus 4	JF504702.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 4	AEQ76806	JF504702.1	AEQ76806,AEQ76803,AEQ76800,AEQ76797,AEQ76807,AEQ76804,AEQ76801,AEQ76798	AEQ76806__JF504702.1_Species 26
